nickname,username,tweets
Jabatan Komunikasi Komuniti (J-KOM),@dccomm_gov,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__9capyjghzy"" lang=""in""><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">1. Seperti yang telah diumumkan dalam </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">Belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">, peminjam Tabung Pendidikan Tinggi Nasional (PTPTN) akan menikmati diskaun bayaran balik pinjaman maksimum 20 peratus untuk tempoh 1 Mac </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> sehingga 31 Mei </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">.</span></div>"
DAP Malaysia,@dapmalaysia,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__9hugfob8lll"" lang=""in""><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">Ahli Parlimen Bagan, </span><div class=""css-1dbjc4n r-xoduu5""><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/guanenglim"" role=""link"">@guanenglim</a></span></div><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">  bercadang RM600 bantuan untuk masjid dalam </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">Belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> diberikan juga kepada surau-surau </span><img alt=""🕌"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f54c.png"" title=""Mosque""/><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><img alt=""☪️"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/262a.png"" title=""Star and crescent""/></div>"
HONOR,@Honorglobal,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__zt0spd3gnep"" lang=""en""><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">Did you miss the launch of </span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/HONORMagic5?src=hashtag_click"" role=""link"">#HONORMagic5</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> Pro and </span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/HONORMagicVs?src=hashtag_click"" role=""link"">#HONORMagicVs</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> at </span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/MWC23?src=hashtag_click"" role=""link"">#MWC23</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">? Don’t worry, we have your back. Revealing all the highlights and our biggest announcements right here. Watch now! </span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/UnleashthePowerofMagic?src=hashtag_click"" role=""link"">#UnleashthePowerofMagic</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/HONORMWC2023?src=hashtag_click"" role=""link"">#HONORMWC2023</a></span></div>"
Astro AWANI,@501Awani,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__oi29kexsyd7"" lang=""in""><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">Dalam pembentangan </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">Belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> baru-baru ini antara yang disentuh mengenai kemandirian pengeluaran makanan tempatan melalui automasi dan pendigitalan. Bagaimana ia boleh direalisasikan? </span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/DialogPoketRakyat?src=hashtag_click"" role=""link"">#DialogPoketRakyat</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/AWANInews?src=hashtag_click"" role=""link"">#AWANInews</a></span></div>"
SinarHarian,@SinarOnline,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__p3fzh371hl8"" lang=""in""><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/podcast?src=hashtag_click"" role=""link"">#podcast</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> Ikuti temubual isu </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">Belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> Abai M40? dihoskan Haizir Othman bersama tetamu Ahli Majlis Pimpinan Pusat PKR, Yahya Sahri dalam Plot Twist.

Klik link </span><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""https://t.co/Y2hkwLdsK8"" rel=""noopener noreferrer nofollow"" role=""link"" target=""_blank""><span aria-hidden=""true"" class=""css-901oao css-16my406 r-poiln3 r-hiw28u r-qvk6io r-bcqeeo r-qvutc0"">https://</span>bit.ly/3EOaixx</a><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> atau dengarkan podcast Sinar Harian di Spotify, Apple dan Google Podcasts!</span></div>"
PUSAT MAKLUMAT RAKYAT YAN,@yan_pmr,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__unlv8rauyb"" lang=""in""><img alt=""🔊"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f50a.png"" title=""Speaker with three sound waves""/><img alt=""🔊"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f50a.png"" title=""Speaker with three sound waves""/><img alt=""🔊"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f50a.png"" title=""Speaker with three sound waves""/><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> PROGRAM INFO ON WHEELS “PMR OUTREACH” PEJABAT PENERANGAN DAERAH YAN </span><img alt=""📢"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f4e2.png"" title=""Public address loudspeaker""/><img alt=""📢"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f4e2.png"" title=""Public address loudspeaker""/><img alt=""📢"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f4e2.png"" title=""Public address loudspeaker""/><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> Hebahan </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">Belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> dan Hebahan Jenayah Scam &amp; Promosi Talian NSRC 997, Hebahan Penyakit Denggi, Hebahan Penyakit TIBI dan Hebahan Program Kongsi Rezeki Jumaat Barakah.</span></div>"
PUSAT MAKLUMAT RAKYAT YAN,@yan_pmr,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__h1cyk9jsmcq"" lang=""in""><img alt=""🔊"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f50a.png"" title=""Speaker with three sound waves""/><img alt=""🔊"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f50a.png"" title=""Speaker with three sound waves""/><img alt=""🔊"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f50a.png"" title=""Speaker with three sound waves""/><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> PROGRAM INFO ON WHEELS “PMR OUTREACH” PEJABAT PENERANGAN DAERAH YAN </span><img alt=""📢"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f4e2.png"" title=""Public address loudspeaker""/><img alt=""📢"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f4e2.png"" title=""Public address loudspeaker""/><img alt=""📢"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f4e2.png"" title=""Public address loudspeaker""/><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> Hebahan </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">Belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> dan Hebahan Jenayah Scam &amp; Promosi Talian NSRC 997, Hebahan Penyakit Denggi, Hebahan Penyakit TIBI dan Hebahan Program Kongsi Rezeki Jumaat Barakah.</span></div>"
PUSAT MAKLUMAT RAKYAT YAN,@yan_pmr,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__tvr3p68zm7"" lang=""in""><img alt=""🔊"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f50a.png"" title=""Speaker with three sound waves""/><img alt=""🔊"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f50a.png"" title=""Speaker with three sound waves""/><img alt=""🔊"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f50a.png"" title=""Speaker with three sound waves""/><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> PROGRAM INFO ON WHEELS “PMR OUTREACH” PEJABAT PENERANGAN DAERAH YAN </span><img alt=""📢"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f4e2.png"" title=""Public address loudspeaker""/><img alt=""📢"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f4e2.png"" title=""Public address loudspeaker""/><img alt=""📢"" class=""r-4qtqp9 r-dflpy8 r-sjv1od r-zw8f10 r-10akycc r-h9hxbl"" draggable=""false"" src=""https://abs-0.twimg.com/emoji/v2/72x72/1f4e2.png"" title=""Public address loudspeaker""/><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> Hebahan </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">Belanjawan</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"">2023</span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> dan Hebahan Jenayah Scam &amp; Promosi Talian NSRC 997, Hebahan Penyakit Denggi, Hebahan Penyakit TIBI dan Hebahan Program Kongsi Rezeki Jumaat Barakah.</span></div>"
NEGERIfm Official,@negerifm,"<div class=""css-901oao r-18jsvk2 r-37j5jr r-a023e6 r-16dba41 r-rjixqe r-bcqeeo r-bnwqim r-qvutc0"" data-testid=""tweetText"" dir=""auto"" id=""id__8o2rd9rcduh"" lang=""in""><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0"">INFOGRAFIK 

Memudahcara pelaburan yang berimpak dan berkualiti tinggi

'Yang sahih di Berita RTM'
</span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/RTM?src=hashtag_click"" role=""link"">#RTM</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/BeritaRTM?src=hashtag_click"" role=""link"">#BeritaRTM</a></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/Belanjawan2023?src=hashtag_click"" role=""link"">#Belanjawan2023</a></span><span class=""css-901oao css-16my406 r-poiln3 r-b88u0q r-bcqeeo r-qvutc0""></span><span class=""css-901oao css-16my406 r-poiln3 r-bcqeeo r-qvutc0""> </span><span class=""r-18u37iz""><a class=""css-4rbku5 css-18t94o4 css-901oao css-16my406 r-1cvl2hr r-1loqt21 r-poiln3 r-bcqeeo r-qvutc0"" dir=""ltr"" href=""/hashtag/MalaysiaMadani?src=hashtag_click"" role=""link"">#MalaysiaMadani</a></span></div>"
