comment,username,nickname,likes,noOfRepliedComments,avatar,posted_date,extracted_date,video_link,video_likes,video_comments,video_shared,video_posted_date,video_views,video_image_link,video_caption
walauntit hadir,@zaidiokok123,ooo ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/56c0d0c45917c61c2257075115f28ca9~c5_100x100.jpg?x-expires=1675918800&x-signature=Hs4IXEx7tj7b%2F6RTl3bqauN2SLY%3D,2023-02-07,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
PAS pun lantik anak dlm kerajaan negeri..,@adananbbsb,adananbbsb ,1,4,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7151501575574257690~c5_100x100.jpg?x-expires=1675918800&x-signature=xikdOXs0vTyxnY4RB8rYaPjahW4%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
"kalau pas buat ok jer kan, tak gitu kak??🤣🤣🤣",@ashabuljebong,ashabul JebonG ,1,2,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7886eee093459583bf0c69e7313a7f2a~c5_100x100.jpg?x-expires=1675918800&x-signature=chnY%2F2Yz57P0UfCGAJi57J4Mo1w%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
😂😂😂😂😂😂😂😂,@yb_pantaipandak,arifbillah ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/cc12d843d1ec90f61c03605951e14d7b~c5_100x100.jpg?x-expires=1675918800&x-signature=wn36Oi6Ss9f0glR%2F3o4AnNFf2pQ%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
bmx10...makan kek satu family je...bro..,@mantangkak,mantangkak ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7125957923792945179~c5_100x100.jpg?x-expires=1675918800&x-signature=J3cHcVhfc%2FvGLPqH9HvJCElhVvM%3D,2023-02-07,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
k.jaaan yang memutar kan rakyat.wayang kuat,@user8485370190361,user8485370190361 ,0,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1675918800&x-signature=5Ftb%2FD2PMOXp7gOPlm1i3oFlbCk%3D,2023-02-07,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
walauntit dah dapat sedekah ka..,@gani_char_koey_teow,Abdul Gani Gani912 ,1,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e1242b4cf4bad8f2489075071bffe6d3~c5_100x100.jpg?x-expires=1675918800&x-signature=%2BqtjW6%2FfgO7YvMg9bQOoGL9rJ0k%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
pm nepotisma... tolak ph ( pkr) d prn negeri2,@nikmatlahhasan,nikmatlahhasan ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7121296201526706203~c5_100x100.jpg?x-expires=1675918800&x-signature=l7DqQ43tzpJ9J2Rw3f5nvp2rx0k%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
apa dia kata semua patah balik kat batang hidung dia. x sampai 6 bulan lagi,@leehuzaifah,mat piah ,1,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/347d3a7d77e42e830292cf1499f18e5d~c5_100x100.jpg?x-expires=1675918800&x-signature=HX%2Bw2DaoCt4yVjKb7R5S4FXKD94%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
😂😂😂arwah ni baik orangnya,@jdrea71,JD REA ,1,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/2c2da7fadccfa6d9fe8f9c8e6979c5e8~c5_100x100.jpg?x-expires=1675918800&x-signature=q29DCcNmrodTCx0a7j1oQRH8uu4%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
Bijak tolong papa selongkar😂,@counterstrike752,Capt future ,0,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1678901740498945.jpg?x-expires=1675918800&x-signature=ch3fmnTQZ4qwChtLiG%2BN5YQPWgg%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
Kita tengok dulu pencapaian kerajaan perpaduan dibawah DSAI…Beri ruang untuk mereka untuk bekerja untuk rakyat & negara… PH terbaik,@dilos7882,dilos7882 ,0,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/6962891774327160833.jpg?x-expires=1675918800&x-signature=CUypP4S45tSCb3OuRj%2Fqu4gxAGU%3D,2023-02-07,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
"Aduh !!! 🐎🐘
Allahuakbar",@hello.gajah,hello.gajah ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/e14d5e89edf63019a5c08236a71ffee4~c5_100x100.jpg?x-expires=1675918800&x-signature=ecrMsuSy%2BKdTtYS3wY0ho4Mnc3s%3D,2023-02-07,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
kalau akak kja tanpa gaji akak mau tak...tanye dri sendiri dulu kak😂,@khaliqjaja,khaliqmorsit ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/8befe60669fe8ef4721d9c8b7aa13d0a~c5_100x100.jpg?x-expires=1675918800&x-signature=cbFtXk7K4jNLgPAYxNO8yNd3GJQ%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
Beza sangat cik kak.. dapat tender dgn jadi penasihat,@umminordin,Ummi Nordin ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/982214750d29212fde41b122797f0ef7~c5_100x100.jpg?x-expires=1675918800&x-signature=XI%2B1OkRWrwNB2DF%2Fq44Uy44S6N0%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
PM GAGAL,@ezatdaud63,Ezat Daud ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/170f4b0d0126f017f280db143600fb0f~c5_100x100.jpg?x-expires=1675918800&x-signature=foGRQKJgfJzEoUrwuWPCEuZTEwo%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
memang la payah kalau kaki sakau nak minta projek ... macam Pertikaian Nasional buat dulu😅😅,@mank1965,Man K7647 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7097739380768538651~c5_100x100.jpg?x-expires=1675918800&x-signature=sDHEodtxYBRt8OZvkfdepQ4rlCk%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
Taubat kau,@adev02,ADEV ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/1f5b2b4926024f9bfc131cdc971b733a~c5_100x100.jpg?x-expires=1675918800&x-signature=RiMLErKhKKkGfSByEgKRZTY1rOo%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
walauntit ni tahu ke ... DSAI ada minta tender dari Nurul Izzah ke?? ada keluarga DSAI minta projek?? buktikan la wlauntit ooi,@mank1965,Man K7647 ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7097739380768538651~c5_100x100.jpg?x-expires=1675918800&x-signature=sDHEodtxYBRt8OZvkfdepQ4rlCk%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
apa de hal ... bukan kerajaan keluar duit pun mcm lebai gaji puluh ribu,@tantantan1350,Tan Tan tan135 ,0,0,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/7062222414167408667.jpg?x-expires=1675918800&x-signature=a0gW59cc1a%2BEFfXjezVq89BrXyY%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
adooo ada lagi puan ni...33bln walaun buat apa..MB kelatan TMB kelatan boleh ke lantik anak..hang pegi tanye walaun pas,@user3697356631979,Fier ,0,0,https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/0d942b5a808276d26eef295d1682a562~c5_100x100.jpg?x-expires=1675918800&x-signature=X5BpC6yi4c8kDFuJco%2BBfXmuLWA%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
x ubah mcm cara najib... dia bukan suci pun sejarah dah ada.. kalu tak napa tun M batalkan note 500 dan 1000 hehe yg tau tu tau lah kisah dulu...,@neskiwalter,neskiwalter ,0,1,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1675918800&x-signature=5Ftb%2FD2PMOXp7gOPlm1i3oFlbCk%3D,2023-02-06,2023-02-08,https://www.tiktok.com/@imahmaya1/video/7196817446098046234,60,30,24,2023-02-06,2220,https://p16-sign-va.tiktokcdn.com/obj/tos-useast2a-p-0037-aiso/18c3966b2d8141ecbf0697405098ae38_1675639713?x-expires=1675854000&x-signature=UITWAAB3wcehZOLGijqymJNAZ34%3D,Dia Perdana Menteri. Dia juga Menteri Kewangan. Kemudian diam-diam dia lantik anak dia jadi penasihat. Penasihat pulak jaga tender. Kiranya projek-projek kerajaan kena lalu Nurul Izzah dulu ke? #bendabetul  #fyp  #reformasi  #pakatanharapan  #perikatannasional  #anwaribrahim  #pmx  #nurulizzah  #malanon 
